iter	Passed	Remaining
406	6216	1420
407	6228	1404
408	6239	1388
409	6250	1371
410	6260	1355
411	6278	1341
412	6292	1325
413	6304	1309
414	6325	1295
415	6340	1280
416	6354	1264
417	6376	1250
418	6389	1235
419	6400	1219
420	6410	1202
421	6421	1186
422	6439	1172
423	6451	1156
424	6465	1140
425	6475	1124
426	6499	1111
427	6516	1096
428	6531	1080
429	6545	1065
430	6563	1050
431	6580	1035
432	6595	1020
433	6609	1005
434	6625	989
435	6639	974
436	6652	958
437	6666	943
438	6679	928
439	6692	912
440	6704	897
441	6715	881
442	6730	865
443	6743	850
444	6757	835
445	6772	819
446	6785	804
447	6799	789
448	6812	773
449	6827	758
450	6842	743
451	6853	727
452	6870	712
453	6887	697
454	6899	682
455	6914	667
456	6928	651
457	6940	636
458	6952	621
459	6964	605
460	7017	593
461	7068	581
462	7078	565
463	7084	549
464	7117	535
465	7125	519
466	7133	504
467	7141	488
468	7149	472
469	7157	456
470	7179	442
471	7186	426
472	7196	410
473	7208	395
474	7219	379
475	7228	364
476	7237	348
477	7246	333
478	7255	318
479	7266	302
480	7277	287
481	7290	272
482	7301	256
483	7310	241
484	7318	226
485	7335	211
486	7344	196
487	7352	180
488	7359	165
489	7367	150
490	7375	135
491	7392	120
492	7399	105
493	7410	90
494	7420	74
495	7430	59
496	7442	44
497	7451	29
498	7459	14
499	7470	0
