iter	Passed	Remaining
406	7220	1649
407	7230	1630
408	7241	1611
409	7251	1591
410	7263	1572
411	7273	1553
412	7283	1534
413	7296	1515
414	7306	1496
415	7326	1479
416	7336	1460
417	7354	1442
418	7363	1423
419	7372	1404
420	7380	1384
421	7388	1365
422	7410	1348
423	7422	1330
424	7434	1311
425	7454	1294
426	7467	1276
427	7487	1259
428	7498	1240
429	7509	1222
430	7521	1204
431	7543	1187
432	7556	1169
433	7570	1151
434	7581	1132
435	7591	1114
436	7600	1095
437	7611	1077
438	7623	1059
439	7642	1042
440	7654	1024
441	7670	1006
442	7681	988
443	7698	970
444	7708	952
445	7721	934
446	7737	917
447	7748	899
448	7767	882
449	7796	866
450	7812	848
451	7822	830
452	7831	812
453	7838	794
454	7853	776
455	7869	759
456	7892	742
457	7902	724
458	7919	707
459	7929	689
460	7940	671
461	7955	654
462	7971	637
463	7983	619
464	7993	601
465	8004	583
466	8015	566
467	8032	549
468	8044	531
469	8066	514
470	8081	497
471	8092	480
472	8103	462
473	8124	445
474	8137	428
475	8149	410
476	8163	393
477	8177	376
478	8188	359
479	8206	341
480	8219	324
481	8228	307
482	8238	289
483	8251	272
484	8265	255
485	8275	238
486	8296	221
487	8305	204
488	8318	187
489	8331	170
490	8339	152
491	8359	135
492	8378	118
493	8400	102
494	8412	84
495	8425	67
496	8439	50
497	8455	33
498	8471	16
499	8484	0
